Date	1 Mo	3 Mo	6 Mo	1 Yr	2 Yr	3 Yr	5 Yr	7 Yr	10 Yr	20 Yr	30 Yr
01/02/04	0.88	0.93	1.02	1.31	1.94	2.47	3.36	3.90	4.38	5.21	N/A
01/05/04	0.88	0.91	1.05	1.35	1.95	2.51	3.39	3.92	4.41	5.23	N/A
01/06/04	0.88	0.91	1.03	1.30	1.84	2.38	3.26	3.80	4.29	5.13	N/A
01/07/04	0.88	0.91	1.02	1.29	1.84	2.36	3.25	3.76	4.27	5.11	N/A
01/08/04	0.87	0.88	1.01	1.29	1.85	2.37	3.24	3.76	4.27	5.12	N/A
01/09/04	0.87	0.87	0.97	1.21	1.68	2.17	3.05	3.58	4.11	4.98	N/A
01/12/04	0.88	0.89	0.98	1.21	1.68	2.18	3.04	3.58	4.11	4.99	N/A
01/13/04	0.86	0.89	0.97	1.18	1.63	2.12	2.98	3.51	4.05	4.95	N/A
01/14/04	0.85	0.88	0.96	1.19	1.65	2.13	2.96	3.49	4.01	4.90	N/A
01/15/04	0.82	0.88	0.96	1.18	1.67	2.16	2.97	3.48	3.99	4.87	N/A
01/16/04	0.80	0.89	0.97	1.21	1.70	2.19	3.03	3.54	4.04	4.90	N/A
01/20/04	0.80	0.89	0.98	1.21	1.69	2.21	3.05	3.58	4.08	4.93	N/A
01/21/04	0.82	0.89	0.96	1.19	1.69	2.20	3.02	3.55	4.05	4.92	N/A
01/22/04	0.74	0.88	0.96	1.19	1.66	2.14	2.96	3.49	3.99	4.86	N/A
01/23/04	0.79	0.90	0.96	1.21	1.71	2.22	3.06	3.59	4.09	4.95	N/A
01/26/04	0.82	0.90	0.99	1.23	1.75	2.27	3.13	3.66	4.16	5.01	N/A
01/27/04	0.89	0.91	0.98	1.21	1.70	2.21	3.07	3.60	4.11	4.96	N/A
01/28/04	0.89	0.94	1.00	1.26	1.87	2.39	3.22	3.72	4.22	5.06	N/A
01/29/04	0.87	0.94	1.02	1.29	1.88	2.39	3.22	3.74	4.22	5.05	N/A
